nIterations/alpha,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,1.0
10,2448827,2451259,2462094,2493824,2467033,2450446,2433816,2452592,2440830,2478639,2447041,
20,2474064,2454581,2458102,2459399,2455398,2484843,2487233,2448419,2475351,2480499,2450129,
30,2520534,2500583,2476138,2461475,2459773,2549712,2498641,2487561,2483097,2504059,2512689,
40,2467842,2487653,2468225,2506827,2505179,2495102,2490159,2479143,2492288,2515563,2482158,
50,2469108,2457476,2505278,2480627,2482954,2480223,2475033,2474082,2497816,2482732,2479613,
60,2456567,2481675,2490960,2512909,2505348,2517615,2480650,2478459,2493637,2484248,2516019,
70,2511724,2484166,2487315,2491872,2473360,2505848,2501286,2483197,2516713,2489816,2505726,
80,2486629,2469437,2494746,2472466,2483997,2481808,2499361,2488020,2501603,2476841,2525280,
90,2491295,2486127,2489725,2510740,2500042,2496998,2471386,2491703,2515491,2497727,2512255,
100,2500061,2489303,2474184,2502736,2488174,2501225,2479869,2543127,2506642,2517964,2499921,
